cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVIII;7;3;8.956;42;-83;82.331;12.1864;35.6454;0.0404;0.8295;1.00E-12;6.00729;5.19E+01
ENVIII;7;3;8.956;42;-84;83.323;12.1812;35.6459;0.0595;1.0086;1.00E-12;5.98459;5.19E+01
ENVIII;7;3;8.956;42;-85;84.315;12.1789;35.6462;0.0355;1.0035;1.00E-12;5.90692;5.19E+01
ENVIII;7;3;8.956;42;-86;85.307;12.1781;35.6463;0.0539;1.1082;1.00E-12;5.78988;5.19E+01
ENVIII;7;3;8.956;42;-87;86.298;12.1731;35.6463;0.0451;1.191;1.00E-12;5.79424;5.19E+01
ENVIII;7;3;8.956;42;-88;87.29;12.1637;35.647;0.0673;1.5183;1.00E-12;5.7649;5.19E+01
ENVIII;7;3;8.956;42;-89;88.282;12.1639;35.6467;0.0472;1.5923;1.00E-12;5.69492;5.19E+01
ENVIII;7;3;8.956;42;-90;89.273;12.1634;35.6464;0.0397;1.2406;1.00E-12;5.68693;5.19E+01
ENVIII;7;21;8.9145;42;-3;2.976;13.4883;35.6604;5.249;0.6661;1.07E+02;5.97969;4.40E+02
ENVIII;7;21;8.9145;42;-4;3.969;13.0282;35.6385;4.9994;0.7669;8.45E+01;6.75443;4.49E+02
ENVIII;7;21;8.9145;42;-5;4.961;13.0657;35.6424;4.8218;0.7053;6.18E+01;6.7723;4.50E+02
ENVIII;7;21;8.9145;42;-6;5.953;13.1733;35.6392;5.7111;0.8037;4.69E+01;6.80244;4.52E+02
ENVIII;7;21;8.9145;42;-7;6.945;13.0636;35.6366;6.5376;0.8116;3.62E+01;6.73296;4.53E+02
ENVIII;7;21;8.9145;42;-8;7.937;12.8576;35.6418;4.8614;0.7171;2.75E+01;6.66125;4.53E+02
ENVIII;7;21;8.9145;42;-9;8.929;12.88;35.6417;4.3643;0.7044;2.13E+01;6.54566;4.52E+02
ENVIII;7;21;8.9145;42;-10;9.921;12.8653;35.6403;3.7695;0.6841;1.76E+01;6.49969;4.52E+02
ENVIII;7;21;8.9145;42;-11;10.913;12.9379;35.6428;3.6068;0.7168;1.50E+01;6.492;4.53E+02
ENVIII;7;21;8.9145;42;-12;11.905;12.9881;35.638;3.7973;0.8101;1.21E+01;6.6249;4.53E+02
ENVIII;7;21;8.9145;42;-13;12.897;12.8622;35.6379;3.4528;0.7348;1.01E+01;6.69551;4.53E+02
ENVIII;7;21;8.9145;42;-14;13.89;12.8478;35.64;2.996;0.6687;8.61E+00;6.52565;4.54E+02
